GLOO + CPU, 512 KB, 2, 8.33e-04
GLOO + CPU, 512 KB, 4, 2.52e-03
GLOO + CPU, 512 KB, 6, 8.45e-03
GLOO + CPU, 1 MB, 2, 1.56e-03
GLOO + CPU, 1 MB, 4, 9.45e-03
GLOO + CPU, 1 MB, 6, 1.86e-02
GLOO + CPU, 10 MB, 2, 6.09e-03
GLOO + CPU, 10 MB, 4, 3.46e-02
GLOO + CPU, 10 MB, 6, 2.71e-02
GLOO + CPU, 50 MB, 2, 3.81e-02
GLOO + CPU, 50 MB, 4, 6.96e-02
GLOO + CPU, 50 MB, 6, 8.59e-02
GLOO + CPU, 100 MB, 2, 6.72e-02
GLOO + CPU, 100 MB, 4, 1.34e-01
GLOO + CPU, 100 MB, 6, 1.69e-01
GLOO + CPU, 500 MB, 2, 2.42e-01
GLOO + CPU, 500 MB, 4, 6.37e-01
GLOO + CPU, 500 MB, 6, 8.14e-01
GLOO + CPU, 1 GB, 2, 7.62e-01
GLOO + CPU, 1 GB, 4, 1.29e+00
GLOO + CPU, 1 GB, 6, 1.68e+00
GLOO + CUDA, 512 KB, 2, 2.74e-01
GLOO + CUDA, 512 KB, 4, 4.56e-01
GLOO + CUDA, 512 KB, 6, 8.41e-01
GLOO + CUDA, 1 MB, 2, 1.88e-01
GLOO + CUDA, 1 MB, 4, 4.62e-01
GLOO + CUDA, 1 MB, 6, 7.82e-01
GLOO + CUDA, 10 MB, 2, 1.97e-01
GLOO + CUDA, 10 MB, 4, 5.62e-01
GLOO + CUDA, 10 MB, 6, 7.70e-01
GLOO + CUDA, 50 MB, 2, 2.34e-01
GLOO + CUDA, 50 MB, 4, 6.10e-01
GLOO + CUDA, 50 MB, 6, 8.91e-01
GLOO + CUDA, 100 MB, 2, 3.71e-01
GLOO + CUDA, 100 MB, 4, 6.68e-01
GLOO + CUDA, 100 MB, 6, 1.10e+00
GLOO + CUDA, 500 MB, 2, 6.80e-01
GLOO + CUDA, 500 MB, 4, 1.35e+00
GLOO + CUDA, 500 MB, 6, 1.80e+00
GLOO + CUDA, 1 GB, 2, 1.40e+00
GLOO + CUDA, 1 GB, 4, 2.29e+00
GLOO + CUDA, 1 GB, 6, 3.02e+00
NCCL + CUDA, 512 KB, 2, 2.38e-04
NCCL + CUDA, 512 KB, 4, 2.18e-04
NCCL + CUDA, 512 KB, 6, 2.25e-04
NCCL + CUDA, 1 MB, 2, 2.45e-04
NCCL + CUDA, 1 MB, 4, 2.58e-04
NCCL + CUDA, 1 MB, 6, 1.39e-03
NCCL + CUDA, 10 MB, 2, 2.49e-04
NCCL + CUDA, 10 MB, 4, 2.39e-04
NCCL + CUDA, 10 MB, 6, 1.25e-03
NCCL + CUDA, 50 MB, 2, 2.20e-04
NCCL + CUDA, 50 MB, 4, 2.31e-04
NCCL + CUDA, 50 MB, 6, 2.53e-03
NCCL + CUDA, 100 MB, 2, 2.22e-04
NCCL + CUDA, 100 MB, 4, 2.35e-04
NCCL + CUDA, 100 MB, 6, 6.46e-03
NCCL + CUDA, 500 MB, 2, 2.41e-04
NCCL + CUDA, 500 MB, 4, 2.30e-04
NCCL + CUDA, 500 MB, 6, 6.15e-04
NCCL + CUDA, 1 GB, 2, 2.57e-04
NCCL + CUDA, 1 GB, 4, 2.42e-04
NCCL + CUDA, 1 GB, 6, 1.48e-03
